system:index,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,CONS_OBJ,DESIG,DESIG_ENG,DESIG_TYPE,GIS_AREA,GIS_M_AREA,GOV_TYPE,INT_CRIT,ISO3,IUCN_CAT,MANG_AUTH,MANG_PLAN,MARINE,METADATAID,NAME,NO_TAKE,NO_TK_AREA,ORIG_NAME,OWN_TYPE,PARENT_ISO,PA_DEF,REP_AREA,REP_M_AREA,STATUS,STATUS_YR,SUB_LOC,SUPP_INFO,VERIF,WDPAID,WDPA_PID,layer,path,.geo
0_00000000000000000061,64.53426231325442,62.121406677508645,58.724146852023786,57.02086101911359,56.05118108524346,55.08114913071498,53.2021911901735,50.109169485221386,47.3446323018825,45.55615885398994,43.7519018100782,42.97750023398963,42.423439046852025,42.116782209327376,41.975934082618245,41.743265352088684,40.52518682846003,39.04540598157721,38.26248930054379,37.18095055272365,35.90510478272987,34.72675469208433,33.86360373031843,33.065718023684205,32.34310674355711,31.75429539504594,31.052093395232717,30.685895925082665,30.37466389506421,29.965485088667744,29.791650179793304,29.645029261257264,29.452558083578207,29.251631336402756,28.920934135423277,28.332658326650336,26.3580861152352,Not Applicable,Terra Indígena,Indigenous Area,National,104.547829459176,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Km 43,Not Applicable,0.0,Km 43,Not Reported,BRA,1,0.0,0.0,Proposed,0,BR-PA,Not Applicable,State Verified,352378.0,352378,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064,56.993850796091515,56.94293906202153,56.64386256791621,56.55007766941768,56.38841319920286,55.97491663394349,55.29261566244131,54.566114798369554,54.32528426123239,54.22792733899139,54.01088269287361,53.73639982783305,53.34424181313527,52.90889329530037,52.45084474797525,52.22343472408512,52.00908355906625,51.823408111843975,51.514094296951875,51.36493183979908,51.18986738929829,50.975505628227864,50.659352299412774,50.405611045647134,50.167771024261825,50.05433579348792,49.982018933120564,49.930112617475125,49.80080298903564,49.67634117482552,49.56469268160041,49.35032670107076,49.25367351009389,49.16149241844766,49.09361335313217,49.0721768203563,48.96052814927489,Not Applicable,Terra Indígena,Indigenous Area,National,104.759035602159,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Mirixipi,Not Applicable,0.0,Mirixipi,Not Reported,BRA,1,0.0,0.0,Proposed,0,BR-PA,Not Applicable,State Verified,352380.99999999994,352381,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,49.4190876604624,48.8503872881308,46.72832488420429,44.553849878921504,43.03223460691059,41.061892216232096,37.153046638226215,31.30152309420706,24.386994425462195,21.748149445505508,20.055141734076486,18.027635875278087,15.059432543938298,8.82726333187426,8.18326770966171,7.5598157270101005,7.239102130936238,6.997611363978746,6.819961871591373,6.561694504619525,6.30299245694457,6.189166481058448,5.9691577849941035,5.913513495375108,5.811037363783304,5.671791939961635,5.533921947556341,4.119749438622014,3.9870593102808867,3.7238618091447173,3.682341604676952,3.602926427328905,3.5133439773983217,3.4992100532650205,3.4965596657528146,3.4851209114396644,3.4789371979997243,Not Applicable,Terra Indígena,Indigenous Area,National,103.589884965125,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Tuxá,Not Applicable,0.0,Tuxá,Not Reported,BRA,1,0.0,0.0,Proposed,0,BR-BA,Not Applicable,State Verified,352408.0,352408,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000074,48.39753977190276,47.53388460353742,45.00075243623981,40.238234181998,34.73831384134937,31.28563517035807,29.765559982739806,27.580729238747026,26.37890097555467,24.569907147501958,22.88575075924255,22.378617591031862,21.008405165121452,17.575058432751888,15.43690265290904,14.290408537681989,13.86314005443846,13.408183169869588,13.114258580554523,12.694113891424461,12.201748610960198,11.568661045489032,11.059010133419315,10.746433036309483,10.514735381839246,10.225911923732223,10.19198650423761,9.244036171365073,8.428920451638486,7.937442844880283,7.677949355759652,7.5246460547404554,7.3433693083371745,7.2805029740090985,7.2751462899270685,7.265325593088694,7.258183354990549,Not Applicable,Terra Indígena,Indigenous Area,National,104.712195466433,12.0201673547497,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,1,905,Tremembé de Almofala,Not Reported,0.0,Tremembé de Almofala,Not Reported,BRA,1,0.0,0.0,Proposed,1992,BR-CE,Not Applicable,State Verified,352400.0,352400,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002f,81.9818123578816,81.19883432945376,79.65611375702689,78.21396204790591,78.07828437078093,77.1864220700763,74.70999888616905,72.26156673425028,71.68494289056315,71.32165215856644,71.04566898073662,70.8188348038752,70.55373013346511,69.86769466979644,69.60527006133677,69.33616974452846,69.18944424873902,68.96921712509986,68.67503964139694,68.43462713853066,68.21064239610718,67.94040902707106,67.74760419418547,67.56015345047166,67.17307287394799,66.6341133961412,66.2972366140811,66.01579221377715,65.3680186967376,64.16066944238581,62.21634997818138,60.56337823940243,60.10454196640537,59.58584675193936,58.992309361739515,58.646028652665606,58.18106257743019,Not Applicable,Terra Indígena,Indigenous Area,National,104.68997229335,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,São Francisco,Not Applicable,0.0,São Francisco,Not Reported,BRA,1,0.0,0.0,Proposed,1993,BR-AM,Not Applicable,State Verified,352326.0,352326,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040,98.08912145637544,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.0864492321933,98.08021404646331,98.08021404646331,98.08021404646331,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.07932330506927,98.0730873790439,Not Applicable,Terra Indígena,Indigenous Area,National,104.473327354087,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Igarapé-Açu,Not Applicable,0.0,Igarapé-Açu,Not Reported,BRA,1,0.0,0.0,Proposed,1997,BR-AM,Not Applicable,State Verified,352344.0,352344,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ae,28.065987973854558,27.136860826647975,24.93973368791153,22.21856274935061,21.043799294830624,19.852905549864893,19.00837819565594,17.673373796890438,17.45705724083401,17.360471645539707,17.168583568228854,17.069378423392624,16.907123496329895,16.81275712740332,16.658880703354797,16.55460266367911,16.33336660643781,16.215548953650902,16.19789354141946,16.038068937257638,16.0078016685809,15.968712106938288,15.931099528618208,15.902511757377942,15.850167653809141,15.834193100708543,15.788788052490732,15.660136868957895,15.612102831989702,15.599491920673781,15.578472717304626,15.493545926227915,15.44729464803853,15.417023907926216,15.1613983578163,15.148785333768453,15.11431173489151,Not Applicable,Terra Indígena,Indigenous Area,National,98.4580356194881,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Água Limpa,Not Applicable,0.0,Água Limpa,Not Reported,BRA,1,0.0,0.0,Proposed,1999,BR-MS,Not Applicable,State Verified,352468.0,352468,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f0,46.505076274189456,46.235468794643495,45.87894521454238,45.17138298798011,43.892535446954945,43.191909310982076,42.69358070323476,42.25810710611878,40.77963734258697,40.01803964721384,39.928435549854385,39.8048293135263,39.755697012439924,39.67725350560401,39.60513342168083,39.48742477828639,39.4256081945463,39.31861804403386,38.72574149705145,38.51971445939247,38.41225884770885,38.31004097270881,38.18009500127306,38.11318667015726,38.02045415099195,37.827817893547824,37.79957447610752,37.7725383776456,37.64653623169647,37.23967577882639,37.10968385363366,37.092270179841435,37.35648634317543,37.10140005130439,37.00652650001292,36.990676671033484,36.90666481294052,Not Applicable,Terra Indígena,Indigenous Area,National,92.6884963102882,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Massiambu,Not Applicable,0.0,Massiambu,Not Reported,BRA,1,0.0,0.0,Proposed,1999,BR-SC,Not Applicable,State Verified,352544.99999999994,352545,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,86.00175188210613,85.9615921554826,85.94552828615888,85.91875532033866,85.91429313393732,85.91429313393732,85.90715376504089,85.87324307052191,85.79381634798838,85.79381634798838,85.78846173324233,85.77150543282742,85.7688281077542,85.76168865389683,85.72420645614322,85.71795938815012,85.69386374349698,85.66798324343614,85.65816642007194,85.63853288863899,85.63585559481577,85.63496315401987,85.63496315401987,85.62336160116352,85.60729782089022,85.59034156930345,85.5742778903485,85.54928990011432,85.52608678585669,85.51983983553936,85.51805495565655,85.51002315304432,85.49842165273922,85.49842165273922,85.48235803628427,85.4154258783867,85.36544975936793,Not Applicable,Terra Indígena,Indigenous Area,National,104.665890063646,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Porto Redenção,Not Applicable,0.0,Porto Redenção,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-AM,Not Applicable,State Verified,352286.0,352286,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000018,101.07694291158685,101.0521755221215,100.88586427668051,100.67013178980865,100.56036225717907,100.43092650085418,100.32193446636416,100.15422868110143,99.87742878503416,99.65339420391328,99.46200358724164,99.07301917158733,98.51817723741502,98.26297740692421,97.95604353987503,97.63263363751744,97.35844550685049,97.10568867315914,96.7005888033308,96.37539571390616,95.94236128206198,95.63193286060032,95.28275697124195,94.90397836133745,94.59779303151896,94.40437998614281,94.1701455610952,93.81070597191828,93.23774048101258,92.55394833879767,91.84751292910803,90.99260505522314,90.25219425311502,89.55211938028019,88.78965974141714,88.3547135578923,87.45961282305096,Not Applicable,Terra Indígena,Indigenous Area,National,103.725792198153,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Kaxinawá Seringal Curralinho,Not Applicable,0.0,Kaxinawá Seringal Curralinho,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-AC,Not Applicable,State Verified,352302.0,352302,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
