system:index,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,BUFF_DIST,CONS_OBJ,DESIG,DESIG_ENG,DESIG_TYPE,GIS_AREA,GIS_M_AREA,GOV_TYPE,INT_CRIT,ISO3,IUCN_CAT,MANG_AUTH,MANG_PLAN,MARINE,METADATAID,NAME,NO_TAKE,NO_TK_AREA,OBJECTID,ORIG_FID,ORIG_NAME,OWN_TYPE,PARENT_ISO,PA_DEF,REP_AREA,REP_M_AREA,STATUS,STATUS_YR,SUB_LOC,SUPP_INFO,Shape_Area,Shape_Leng,VERIF,WDPAID,WDPA_PID,layer,path,poly_ha,.geo
0_00000000000000000061,702.7283807824303,692.3034637694676,679.7464770936726,670.7474521834461,661.7426033085252,655.119871292512,649.0927369098504,637.2909060882782,625.623913677987,615.156915499674,597.5059721912538,584.8656543608083,576.6587387827888,570.8023250027031,567.174103958983,563.7772104385755,559.0922293985049,552.3992300375132,545.5457842997449,535.8065607753805,524.0738304497954,514.1611419150059,505.5063117420326,497.40989985836853,490.1875832034675,484.51051109663206,480.71346492103953,478.040854088292,474.8351693981941,471.3986958538322,468.33366409984734,463.84002118326237,459.94324193849826,454.8321209467687,449.85401255022487,440.6580950733566,415.47324892806836,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.547829459,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Km 43,Not Applicable,0.0,98,97,Km 43,Not Reported,BRA,1,0.0,0.0,Proposed,0,BR-PA,Not Applicable,0.0676121479196,0.938836394215,State Verified,352378.0,352378,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064,512.9656581904497,512.3631643478527,508.7390327914727,507.84678494938726,506.7867075801594,504.51414738711435,498.90408773089644,493.4890478861735,490.5789094543609,489.0661610499225,486.91007643620094,482.76206748584974,478.8229934729371,474.94482305196453,471.50050201694506,468.6411675512444,466.14100409594334,464.2102249910944,461.76574670834293,460.0744832588261,457.7395295810897,455.29933588168564,452.9590233854939,451.16466010786644,449.20020596836355,448.3595684661082,447.7917672608017,447.04723334944254,445.61102017030026,444.47899124819963,442.76281756835806,440.51323981400054,439.7157589391622,438.35787000119535,437.2098299216309,436.6736624625527,435.1093722318053,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.759035602,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Mirixipi,Not Applicable,0.0,101,100,Mirixipi,Not Reported,BRA,1,0.0,0.0,Proposed,0,BR-PA,Not Applicable,0.0675315499967,0.938282127043,State Verified,352381.0,352381,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,326.977254499902,325.069129773496,318.41153291489303,312.75629664436644,307.3988895959919,302.63244456778756,290.74116895284925,271.3766694193743,247.53571655839582,233.5712956686519,222.53906551355914,210.57082493412693,194.92545543072413,134.34116327296405,125.2189030321421,119.88587814635189,114.55416281235665,111.22937411281532,109.21782903830027,105.63510599787745,102.584690108815,101.17996081631487,99.02133440431021,98.48613920023621,97.82726263077153,97.25745390577349,95.39680202316771,88.22086387178472,86.2727516657957,85.05872002758959,84.72491235131999,84.15624682557431,83.60683582109016,83.49641828457302,83.46726574337427,83.43281581509049,83.38423299099372,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,103.589884965,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Tuxá,Not Applicable,0.0,125,124,Tuxá,Not Reported,BRA,1,0.0,0.0,Proposed,0,BR-BA,Not Applicable,0.0679818606945,0.94138247888,State Verified,352408.0,352408,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000074,383.8198511338273,380.47363074613884,371.049700929403,356.757720728803,340.4180809179983,324.87834191526827,317.49953000082303,304.7848712335698,297.7687254978757,280.84103363807594,271.4142975142198,269.8080588075295,260.64598707278157,248.05356335330276,235.67635904244867,229.83393019881277,225.96420124405938,222.10702382062263,218.5363431494485,210.3680188616686,204.78288173209967,198.5765117956496,192.93466112191106,189.5931449054179,185.9568991629501,180.07247281976444,178.99462553131713,171.04675458070136,166.01590353643442,163.63692630537486,161.41075465916458,160.4881641386978,158.6230969848325,158.06970881324344,157.8991974394647,157.82152368116442,157.7715278629886,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.712195466,12.0201673547,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,1,905,Tremembé de Almofala,Not Reported,0.0,117,116,Tremembé de Almofala,Not Reported,BRA,1,0.0,0.0,Proposed,1992,BR-CE,Not Applicable,0.0675495965899,0.938405928294,State Verified,352400.0,352400,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002f,520.1768600990196,510.72401593450996,500.98343272680785,494.79969525542066,492.05590396587047,487.6938761081377,482.5582888950904,477.3132973536213,474.40778124371315,470.02050931477555,467.5473597039993,465.5254647669947,461.79697150915655,457.047143400979,454.56350531781163,453.06920087320395,451.6442176797033,449.83239723473713,447.539290426154,445.6986610321408,443.75956720746285,440.85706353047715,439.2345555472547,437.50295998974536,433.3799305078563,427.3329477259627,424.78787566927474,422.812888986095,419.74080425980964,415.531563027233,408.00042408025803,396.17212286518645,394.47438812752216,392.2111239207327,389.09504849900503,386.844062257952,384.39327661418673,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.689972293,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,São Francisco,Not Applicable,0.0,48,47,São Francisco,Not Reported,BRA,1,0.0,0.0,Proposed,1993,BR-AM,Not Applicable,0.0675578439531,0.938462448813,State Verified,352326.0,352326,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10399,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040,789.9311814467155,789.8474496376903,789.8225080200134,789.816272764825,789.8002379631281,789.798456426873,789.7957839818656,789.7931117611015,789.7922210115897,789.7824294042772,789.7806478989671,789.7779755803025,789.7753031002,789.7521461038009,789.7414576184493,789.7316592359415,789.6995906440827,789.6915739929592,789.6889016814968,789.681775333291,789.6782123286521,789.6737585970844,789.6737585970844,789.6737585970844,789.6719771889424,789.6719771889424,789.6719771889424,789.6719771889424,789.6719771889424,789.6719771889424,789.6701955209737,789.544615858559,788.9550125044318,788.6682264036616,788.0919797964225,788.066151055944,787.92541144156,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.473327354,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Igarapé-Açu,Not Applicable,0.0,65,64,Igarapé-Açu,Not Reported,BRA,1,0.0,0.0,Proposed,1997,BR-AM,Not Applicable,0.0676405782617,0.939031871817,State Verified,352344.0,352344,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ae,237.39660163178536,223.3482041913145,211.16924225775227,204.0263833240968,199.363826596681,192.8800888808617,189.09695402123168,181.6618137112469,176.62906542757656,170.15629586157803,164.8600213392711,162.78450932082842,160.11089828860366,159.13065712095457,158.0983225980671,156.4144388777749,154.90920625938304,152.9660644350448,150.38507493770913,145.97641792471563,144.80679157523315,143.3501443235021,141.73656505401004,140.96912580832333,140.64970473903458,140.18670216642315,138.99500975559152,138.25333099530252,136.45733715412223,135.87100545028085,133.9974486712538,133.0261094642705,132.50605568672887,132.09046805655578,131.49082073412995,131.40672637847797,131.18969339540587,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,98.4580356195,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Água Limpa,Not Applicable,0.0,175,174,Água Limpa,Not Reported,BRA,1,0.0,0.0,Proposed,1999,BR-MS,Not Applicable,0.0700923951823,0.95601363298,State Verified,352468.0,352468,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,9795,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f0,401.14630024018624,398.43958893769127,396.448037223146,393.97245473111906,390.8850650916721,389.1018760887696,387.6443117937581,386.06222507847593,384.1166027956471,382.50786321826274,381.9934278674848,381.6064042610815,381.18752140247216,380.82146216715273,380.3832881427997,379.930999910989,379.55042473649723,379.1140416358623,378.13424986058885,377.0202519252863,376.190381796373,375.87585064171,375.25699322556625,375.0486683044845,374.1784197928548,372.2445683802453,371.77666088005105,371.1496903348563,370.75732195052586,368.4245085393009,367.13674757828403,366.92559781451007,367.9356917101648,356.8234518609708,353.52445266331154,353.25417702809784,352.7369624137797,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,92.6884963103,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Massiambu,Not Applicable,0.0,241,240,Massiambu,Not Reported,BRA,1,0.0,0.0,Proposed,1999,BR-SC,Not Applicable,0.0727655302209,0.974716218177,State Verified,352545.0,352545,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,9234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,725.6338198483787,725.4446236118666,725.3250379423097,725.2616755435054,725.1938508918324,725.1840345475938,725.1679711937728,725.0363765664868,724.837364916584,724.8239786261784,724.7383068065981,724.6053362829157,724.5401903174002,724.4643347364063,724.3991858911306,724.3741978074512,724.3251146375906,724.2831706913016,724.223378646196,724.1332417350014,724.1037916723792,724.0779113354649,724.0547072244419,724.0279346443635,723.9592185160056,723.9110280562272,723.8753311580334,723.8128612490973,723.7664557379885,723.7352215293699,723.6691818597528,723.6093879546617,723.5701221929423,723.5611980594583,723.4909516274531,723.2740920423689,722.7448743934397,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.665890064,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Porto Redenção,Not Applicable,0.0,10,9,Porto Redenção,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-AM,Not Applicable,0.0675669128233,0.93852467045,State Verified,352286.0,352286,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10397,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000018,806.0116218624044,805.6710104244788,804.197915856733,801.4361411676383,800.7785298783931,800.044850572702,798.8602194729827,796.7262089425303,794.9667783086622,792.7943158665568,789.5889622352552,786.5428867105177,783.9627167543929,781.508905890423,779.3536734466455,777.5367300449905,776.0233178522799,774.1799658588351,771.6263422863797,769.3705641122524,766.4391626473227,764.5405554537595,762.5290418775777,759.9137595551722,757.9266087565838,756.3640607085985,754.4371658608351,752.0091853731255,748.5837065778999,744.3017349846481,739.8521279408827,734.9191623608765,729.9709155709533,724.9870062634443,720.1678569078819,717.0063451039148,710.0468775974368,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,103.725792198,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Kaxinawá Seringal Curralinho,Not Applicable,0.0,25,24,Kaxinawá Seringal Curralinho,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-AC,Not Applicable,0.0679286673301,0.941015385234,State Verified,352302.0,352302,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10306,"{""type"":""MultiPoint"",""coordinates"":[]}"
